bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1,1,600,Unfurnished,"Family , Bachelors (Women Only)","savitri bungalow , hadapsar, , Pune, Maharashtra",0,East,Vitrified,Yes,Yes,2,None,None,0,1,0,0,0 to 1 Year Old,0,0,0,1,0,0,0,0,25000,0,9900
1,1,650,Semifurnished,Family Only,"Devi link Apartment, Pimpri Chinchwad, , Pune, Maharashtra",2,East,Vitrified,Yes,No,1,None,None,36,1,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0,11000
1,1,0,Semifurnished,Family Only,"Nirmal Township, Sinhgad Road, , Pune, Maharashtra",5,East,Vitrified,Yes,No,1,None,None,1,1,1,1,10+ Year Old,1,0,0,0,0,0,0,0,40000,0,15000
3,2,0,Unfurnished,Family Only,"Vilas Javdekar Yashwin Hinjewadi, Hinjewadi Phase 2, , Pune, Maharashtra",2,North-East,Granite,Yes,No,2,Yes,None,11,1,1,1,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 3000/ (/ month,0,3,3000,26000
1,1,650,Unfurnished,Bachelors (Men Only),"Shri park pune, Chadannagara, , Pune, Maharashtra",2,West,Marble,No,No,4,None,None,11,1,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,11500,0,11500
1,1,600,Semifurnished,Family Only,"Saptrang Aakash Society, Bhekrai Nagar, , Pune, Maharashtra",4,East,Vitrified,Yes,No,0,None,None,36,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0,9500
1,1,550,Semifurnished,Family Only,"Ankur B Society, Sanghvi, , Pune, Maharashtra",1,North-East,Not provided,Yes,No,0,None,Yes,11,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,25000,0,12000
3,3,1200,Semifurnished,All,"Prasanna Apartment , Bhandarkar Road, , Pune, Maharashtra",2,North,Mosaic,No,No,1,None,None,11,1,1,0,10+ Year Old,1,0,0,0,0,0,0,0,0,0,35000
2,2,700,Semifurnished,Family Only,"Greenfield Society, Sade Satra Nali, , Pune, Maharashtra",4,No Direction,Spartex,Yes,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,55000,0,20000
2,2,640,Semifurnished,All,"Amanora Victory Tower, Keshav Nagar, , Pune, Maharashtra",8,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,50000,0,16000
1,1,500,Unfurnished,All,"Viman Nagar, , Pune, Maharashtra",2,No Direction,Not provided,No,No,0,None,None,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,2,0,15000
2,2,1100,Furnished,All,"Neo Regal, Moshi, , Pune, Maharashtra",7,East,Marble,Yes,No,1,None,None,11,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,50000,0,16000
